SUBGROEPID,SUBGROEPCODE
5748426,PBA-BM-AF/AO/1SEM2
5749118,PBA-BM-KM/2A
5749121,PBA-BM-KM/2A
5749122,PBA-BM-KM/2A
5749123,PBA-BM-KM/2A
5749124,PBA-BM-KM/2A
5749125,PBA-BM-KM/2A
5749127,PBA-BM-KM/2A
5749130,PBA-BM-KM/2A
5749132,PBA-BM-KM/2A
5749133,PBA-BM-KM/2A
5749134,PBA-BM-KM/2A
5749135,PBA-BM-KM/2A
5750408,PBA-CH/1C2
5750409,PBA-CH/1C2
5750410,PBA-CH/1C2
5750445,PBA-CH/1C2
5750478,PBA-CH/1E2
5750480,PBA-CH/1E2
5750482,PBA-CH/1E2
5750483,PBA-CH/1E2
5750484,PBA-CH/1E2
5750485,PBA-CH/1E2
5750486,PBA-CH/1E2
5750487,PBA-CH/1E2
5750522,PBA-CH/1E2
5750567,PBA-CH-MTE/2A2
5750578,PBA-CH-MTE/2A2
5750601,PBA-CH-MTE/2A2
5750644,PBA-CH-MTE/2A3
5750733,PBA-CH-MTE/2A4
5750735,PBA-CH-MTE/2A4
5750755,PBA-CH-MTE/2A4
5750825,PBA-CH-MTE/3A2
5750838,PBA-CH-MTE/3A2
5750839,PBA-CH-MTE/3A2
5752161,PBA-BM-MK/3C2
5752457,PBA-BM-RE/1B
5752461,PBA-BM-RE/1B
5752463,PBA-BM-RE/1B
5752467,PBA-BM-RE/1B
5752477,PBA-BM-RE/1B
5752480,PBA-BM-RE/1B
5752484,PBA-BM-RE/1B
5753006,PBA-TIN-TI/3A1
5753021,PBA-TIN-TI/3A1
5753024,PBA-TIN-TI/3A1
5753026,PBA-TIN-TI/3A1
5753142,PBA-TIN-TI/3A1
5753210,PBA-TIN-TI/3B1
5753211,PBA-TIN-TI/3B1
5753212,PBA-TIN-TI/3B1
5753214,PBA-TIN-TI/3B1
5753215,PBA-TIN-TI/3B1
5753225,PBA-TIN-TI/3B1
5753230,PBA-TIN-TI/3B1
5753420,PBA-TIN-TI/3C1
5753429,PBA-TIN-TI/3C1
5753432,PBA-TIN-TI/3C1
5753434,PBA-TIN-TI/3C1
5754055,PBA-BM-KM/1A
5754059,PBA-BM-KM/1A
5754063,PBA-BM-KM/1A
5754064,PBA-BM-KM/1A
5754065,PBA-BM-KM/1A
5754066,PBA-BM-KM/1A
5754067,PBA-BM-KM/1A
5754068,PBA-BM-KM/1A
5754069,PBA-BM-KM/1A
5754559,PBA-BM-KM/1B
5754563,PBA-BM-KM/1B
5754567,PBA-BM-KM/1B
5754568,PBA-BM-KM/1B
5754569,PBA-BM-KM/1B
5754570,PBA-BM-KM/1B
5754573,PBA-BM-KM/1B
5755030,PBA-BM-ML/1A
5755189,PBA-BM-ML/1A
5755191,PBA-BM-ML/1A
5755194,PBA-BM-ML/1A
5755196,PBA-BM-ML/1A
5755200,PBA-BM-ML/1A
5755202,PBA-BM-ML/1A
5755204,PBA-BM-ML/1A
5755494,PBA-BM-ML/3SEM1
5757716,PBA-TIN-TI/VC/2
5757720,PBA-TIN-TI/VC/2
5757721,PBA-TIN-TI/VC/2
5757722,PBA-TIN-TI/VC/2
5757724,PBA-TIN-TI/VC/2
5757725,PBA-TIN-TI/VC/2
5757726,PBA-TIN-TI/VC/2
