LessonType,ClassName,SessionCount,ValidAttendanceRates,ExpectedStudentsSum,PresentStudentsSum,WeightedAttendanceRate,MeanAttendanceRate,MedianAttendanceRate,StandardDeviation,Variance,Minimum,Percentile10,Quartile1,Quartile3,Percentile90,Maximum,InterquartileRange,CoefficientOfVariation,MeanExpectedStudents,MedianExpectedStudents,MeanPresentStudents,MedianPresentStudents
Gewoon vak,Windows Server II,26.0,26.0,598.0,112.0,0.18729096989966554,0.19581807081807082,0.23214285714285715,0.15566056670792083,0.024230212027831075,0.0,0.0,0.04067460317460317,0.2837301587301587,0.38888888888888884,0.5,0.24305555555555555,0.794924421722757,23.0,23.0,4.3076923076923075,5.0
Gewoon vak,Object-oriented Software Development II,75.0,75.0,12258.0,2782.0,0.22695382607276882,0.22046887124762957,0.2268041237113402,0.0949179575464854,0.009009418664796404,0.0,0.1015663223702093,0.15840066870994707,0.3013698630136986,0.3200737618545838,0.3795620437956204,0.14296919430375155,0.43052770674311663,163.44,137.0,37.093333333333334,35.0
Gewoon vak,Cybersecurity & Virtualisation,12.0,12.0,780.0,180.0,0.23076923076923078,0.23076923076923073,0.2230769230769231,0.10496035266737745,0.011016675632060248,0.046153846153846156,0.11230769230769232,0.1653846153846154,0.3153846153846154,0.3384615384615385,0.4,0.14999999999999997,0.454828194891969,65.0,65.0,15.0,14.5
Gewoon vak,Mathematics for Machine Learning,14.0,14.0,630.0,114.0,0.18095238095238095,0.18095238095238098,0.2222222222222222,0.1599755781117405,0.02559218559218559,0.0,0.0,0.0,0.3277777777777778,0.35555555555555557,0.37777777777777777,0.3277777777777778,0.8840755632490922,45.0,45.0,8.142857142857142,10.0
Gewoon vak,Cybersecurity Advanced,13.0,13.0,650.0,108.0,0.16615384615384615,0.16615384615384615,0.22,0.1279022062318487,0.016358974358974356,0.0,0.0,0.02,0.24,0.296,0.38,0.22,0.7697817967657561,50.0,50.0,8.307692307692308,11.0
Gewoon vak,Computer Networks I,62.0,62.0,5674.0,1130.0,0.19915403595347198,0.18632304600046534,0.21304637971304638,0.10090686058189607,0.010182194512494212,0.0,0.03911898911898912,0.11428571428571428,0.2586336336336336,0.29615384615384616,0.3581081081081081,0.14434791934791935,0.5415694018959096,91.51612903225806,78.0,18.225806451612904,17.0
Gewoon vak,Costing,38.0,38.0,3848.0,789.0,0.20504158004158005,0.23584987341684474,0.2125748502994012,0.20127325839240076,0.04051092454389413,0.0,0.0,0.1261904761904762,0.25748502994011974,0.5346153846153852,0.7692307692307693,0.13129455374964355,0.8533956600293241,101.26315789473684,105.0,20.763157894736842,17.5
Gewoon vak,Web Development II,89.0,89.0,16192.0,3527.0,0.21782361660079053,0.2101891449577643,0.20761245674740483,0.10070414706850654,0.010141325236795395,0.0,0.08350828729281769,0.15,0.2906574394463668,0.3256036446469249,0.4090909090909091,0.1406574394463668,0.4791120259266584,181.93258426966293,160.0,39.62921348314607,26.0
Gewoon vak,Professional Communication,38.0,38.0,2503.0,660.0,0.2636835797043548,0.2564764183185235,0.20535714285714285,0.2139421758203224,0.045771254594733746,0.0,0.0,0.05194805194805195,0.42727272727272725,0.5596103896103897,0.6285714285714286,0.3753246753246753,0.8341592463858531,65.86842105263158,56.0,17.36842105263158,10.5
Gewoon vak,Content Management Systems,13.0,13.0,130.0,21.0,0.16153846153846155,0.16153846153846155,0.2,0.09607689228305229,0.009230769230769232,0.0,0.020000000000000018,0.1,0.2,0.2800000000000001,0.3,0.1,0.5947617141331808,10.0,10.0,1.6153846153846154,2.0
Gewoon vak,e-Marketing,8.0,8.0,320.0,70.0,0.21875,0.21875,0.2,0.07989949043284676,0.006383928571428571,0.1,0.1525,0.19375,0.23750000000000002,0.305,0.375,0.04375000000000001,0.3652548134072995,40.0,40.0,8.75,8.0
Gewoon vak,IT Fundamentals,107.0,107.0,9623.0,1822.0,0.189338044268939,0.19014463117056968,0.19834710743801653,0.11754622693324995,0.013817115466243098,0.0,0.0,0.1111111111111111,0.26624472573839664,0.3140495867768595,0.5306122448979592,0.15513361462728553,0.6181937728644299,89.93457943925233,79.0,17.02803738317757,18.0
