year,faculties,title,code,credits,evaluation_methods,second_chance
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 3']",Stage en Persoonlijke Ontwikkeling,194975,13 studiepunten,"[{'moment': 'Buiten examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '70,00'}, {'moment': 'Buiten examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '30,00'}]",wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 2']",Administratief recht,194976,5 studiepunten,"[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}]",wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 2']",Strafprocesrecht,194977,3 studiepunten,"[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}]",wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 2']",2RE - Strategisch Management (NL of EN),194978,3 studiepunten,"[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}]",wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 2']",Strategisch management,194979,3 studiepunten,"[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '80,00'}, {'moment': 'Buiten examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '20,00'}]",wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 2']",Boekhouden,194980,3 studiepunten,"[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}]",wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 2']",Juridisch Frans en Engels I,194981,5 studiepunten,"[{'moment': 'Buiten examenrooster', 'format': 'Mondeling examen', 'percentage': '30,00'}, {'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '70,00'}]",
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 2']",Verzekeringsrecht,194982,5 studiepunten,"[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}]",wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 2']",Project overheid,194983,7 studiepunten,"[{'moment': 'Buiten examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '100,00'}, {'moment': 'Buiten examenrooster', 'format': 'Observatie van functioneren van de student', 'percentage': '0,00'}]",wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 2']",Fiscaliteit ondernemen,194984,5 studiepunten,"[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}]",wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 2']",Project onderneming,194985,7 studiepunten,"[{'moment': 'Buiten examenrooster', 'format': 'Observatie van functioneren van de student', 'percentage': '0,00'}, {'moment': 'Binnen en buiten examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '100,00'}]",wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 2']",Familiaal vermogensrecht,194986,5 studiepunten,"[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}]",wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 3']",Vermogensplanning en fiscale procedure,194987,5 studiepunten,"[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}]",wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 3']",Insolventierecht,194988,4 studiepunten,"[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}]",wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 3']",Socialezekerheidsrecht,194989,4 studiepunten,"[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}]",wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 3']",3RE - Keuzeopleidingsonderdeel,194990,3 studiepunten,,wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 3']",Topics of International Law,194992,3 studiepunten,"[{'moment': 'Buiten examenrooster', 'format': 'Andere', 'percentage': '90,00'}, {'moment': 'Buiten examenrooster', 'format': 'Verslag', 'percentage': '10,00'}]",wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 3']",Ander opleidingsonderdeel na goedkeuring,194993,3 studiepunten,,wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 3']",Juridisch Frans en Engels II,194994,6 studiepunten,"[{'moment': 'Buiten examenrooster', 'format': 'Mondeling examen', 'percentage': '40,00'}, {'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '60,00'}]",
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 3']",Partim Juridisch Frans II,194995,3 studiepunten,"[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '60,00'}, {'moment': 'Buiten examenrooster', 'format': 'Mondeling examen', 'percentage': '40,00'}]",
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 3']",Partim Juridisch Engels II,194996,3 studiepunten,"[{'moment': 'Binnen examenrooster', 'format': 'Mondeling examen', 'percentage': '40,00'}, {'moment': 'Buiten examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '60,00'}]",
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 3']",Project vermogen en insolventie,194997,7 studiepunten,"[{'moment': 'Buiten examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '100,00'}, {'moment': 'Buiten examenrooster', 'format': 'Observatie van functioneren van de student', 'percentage': '0,00'}]",wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 3']",ICT skills,194998,3 studiepunten,"[{'moment': 'Buiten examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '100,00'}]",wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 3']",Project Internationaal privaatrecht en kritisch denken   (RE),194999,5 studiepunten,"[{'moment': 'Buiten examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '100,00'}]",
