site_id,family,model,os,manufacture,ap_id,ssid,wlan_id,username,proto,band,vlan_id,key_mgmt,map_id,annotation,timestamp,assoc_time,rssi,snr,idle_time,tx_rate,rx_rate,tx_pkts,rx_pkts,tx_bytes,rx_bytes,tx_retries,rx_retries,tx_bps,rx_bps,x,y,x_m,y_m,num_locating_aps,uptime,last_seen,dual_band,is_guest,channel,DateKey,TimeKey
c7206857-586f-460a-8ef9-a0f01963739b,,,Android 10,Unknown,00000000-0000-0000-1000-3c94fd081a33,eduroam,f6f56648-82d3-4084-9d82-61552b2d8f9e,u_5552f57fd680a2e96e8771a8122885911735c77105b353ed38f5bd3b57601712,ax,5,231,WPA3-EAP-SHA256/CCMP,d1c470f8-8ff8-4e3f-a599-1941246d140d,unknown,2025-11-14 11:15:00,2025-11-14T08:15:33,-51,42,0.0,487.5,6.0,58943,28879,77100617,8088593,9986,2643,13537,702,1356.695378394528,3676.72526604319,40.642963,110.14485,1,6603,1763114736,True,False,60,20251114,111500
c7206857-586f-460a-8ef9-a0f01963739b,,,Linux,Unknown,00000000-0000-0000-1000-3c94fd044665,eduroam,f6f56648-82d3-4084-9d82-61552b2d8f9e,u_1fcd3a0dc897763dc67b891e03a553e9a37877d96c6809f3f8d5165138e7adfa,ac,5,231,WPA3-EAP-SHA256/CCMP,d1c470f8-8ff8-4e3f-a599-1941246d140d,unknown,2025-11-14 11:15:00,2025-11-14T08:26:27,-56,33,0.0,400.0,6.0,187479,140876,195198297,91066250,21395,2735,16097,7597,1401.9571981973518,4295.418377919943,41.998886,128.67924,1,5970,1763114757,True,False,108,20251114,111500
c7206857-586f-460a-8ef9-a0f01963739b,Apple,,Apple OS,Unknown,00000000-0000-0000-1000-3c94fd001cd9,eduroam,f6f56648-82d3-4084-9d82-61552b2d8f9e,u_65f41d2a11642b10aca88a13cf6e917f411a4fb7c70aebf7c8d47d9afd001fcb,ax,5,231,WPA3-EAP-SHA256/CCMP,,unknown,2025-11-14 11:15:00,2025-11-14T10:05:14,-80,10,27.0,16.2,12.0,103,188,28514,20923,96,76,0,0,0.0,0.0,0.0,0.0,0,42,1763114756,True,False,44,20251114,111500
c7206857-586f-460a-8ef9-a0f01963739b,,,Windows 10/11,Intel Corporate,00000000-0000-0000-1000-3c94fd081e98,eduroam,f6f56648-82d3-4084-9d82-61552b2d8f9e,u_7bea1022a18b87a8048e0526d57a1831dc455fa97935897aea0d96e55eb08cab,ac,5,231,WPA3-EAP-SHA256/CCMP,623eeeab-ceb4-4c42-b795-6fee7e86d019,unknown,2025-11-14 11:15:00,2025-11-14T09:59:24,-69,25,0.0,243.0,400.0,9216,8543,4348426,2892937,2965,96,28214,19524,1364.0385320514051,2423.0618076623687,41.91792,74.462494,1,393,1763114757,True,False,157,20251114,111500
c7206857-586f-460a-8ef9-a0f01963739b,iPhone,,18.5.0,Apple,00000000-0000-0000-1000-3c94fd08169b,eduroam,f6f56648-82d3-4084-9d82-61552b2d8f9e,u_7ab58d3a02a6ba894c345fb6b08ddf8f1ef88f52dcb8fa1a9e39b8c9296cb777,ax,5,235,WPA3-EAP-SHA256/CCMP,e3ac87b6-42bd-4ccb-86e3-acdf737836cb,unknown,2025-11-14 11:15:00,2025-11-14T09:37:32,-49,44,4.0,258.0,24.0,399,1797,45010,365474,66,70,0,0,2675.0846088851913,2272.8704973900512,78.87874,67.018875,1,1670,1763114722,True,False,100,20251114,111500
c7206857-586f-460a-8ef9-a0f01963739b,,,Windows 10/11,AzureWave Technology Inc.,00000000-0000-0000-1000-3c94fd03cd4d,eduroam,f6f56648-82d3-4084-9d82-61552b2d8f9e,u_508df927e3d76bf9eb0c64805dfcf2d2fe2e9fffc57db6565d7faadc0d775c11,ac,5,231,WPA3-EAP-SHA256/CCMP,d1c470f8-8ff8-4e3f-a599-1941246d140d,unknown,2025-11-14 11:15:00,2025-11-14T07:23:49,-79,8,238.0,6.5,6.0,58901,32390,86581438,19081831,13764,6856,1673,0,2162.4451513648846,1105.8338527230887,64.78107,33.127823,1,9724,1763114753,True,False,124,20251114,111500
c7206857-586f-460a-8ef9-a0f01963739b,iPhone,,18.7.1,Apple,00000000-0000-0000-1000-3c94fd08428d,eduroam,f6f56648-82d3-4084-9d82-61552b2d8f9e,u_7fd6fdccef759a0a39b2029bd36d83ac9c979b7dcede780966ba37ab63b97f25,ax,5,231,WPA3-EAP-SHA256/CCMP,bc1f090d-c367-4b20-ba23-2806d53b194c,unknown,2025-11-14 11:15:00,2025-11-14T09:50:27,-62,31,0.0,260.0,458.8,19164,5533,12291369,1601902,4601,278,10522,29680,1069.3900580468137,1787.154657525607,33.06561,55.258938,1,926,1763114753,False,False,132,20251114,111500
c7206857-586f-460a-8ef9-a0f01963739b,iPhone,11,17.5.1,Apple,00000000-0000-0000-1000-3c94fd081f65,eduroam,f6f56648-82d3-4084-9d82-61552b2d8f9e,u_32ef2f23a8fa9ee3339ff4a212b3b21d3fd78efb39a59304557e67cb7424fc1c,ax,5,231,WPA3-EAP-SHA256/CCMP,663a0651-8906-43c8-9998-292cef2a0d2b,unknown,2025-11-14 11:15:00,2025-11-14T09:29:22,-61,33,1.0,390.0,24.0,64979,22548,93207701,7580791,11573,2618,27245,363,2881.947010126895,349.4409441333277,84.51281,10.247321,1,2152,1763114714,True,False,124,20251114,111500
c7206857-586f-460a-8ef9-a0f01963739b,iOS,,iOS,Apple,00000000-0000-0000-1000-3c94fd03e7d3,eduroam,f6f56648-82d3-4084-9d82-61552b2d8f9e,u_87a531ea7f475092de1af94e237f3d3b972923a99e7fc3baeff2ece8d727d45e,ac,5,235,WPA3-EAP-SHA256/CCMP,663a0651-8906-43c8-9998-292cef2a0d2b,unknown,2025-11-14 11:15:00,2025-11-14T10:05:42,-62,29,0.0,243.0,24.0,152,161,61172,39850,48,15,57196,14358,1534.7477355273043,4030.832604068414,45.006325,118.203766,1,10,1763114752,True,False,44,20251114,111500
c7206857-586f-460a-8ef9-a0f01963739b,,,Android 12,Unknown,00000000-0000-0000-1000-3c94fd08179f,eduroam,f6f56648-82d3-4084-9d82-61552b2d8f9e,u_9d4f184a0faa0c8305eb556917827f14039cea0eb8d9c22812da7eb43e42f21c,n,24,231,WPA3-EAP-SHA256/CCMP,663a0651-8906-43c8-9998-292cef2a0d2b,unknown,2025-11-14 11:15:00,2025-11-14T09:20:47,-43,41,0.0,72.2,1.0,41061,18361,32741453,3635049,10190,3639,384,1334,2093.2020384802327,4762.903760689065,61.382942,139.67168,1,2685,1763114732,True,False,11,20251114,111500
c7206857-586f-460a-8ef9-a0f01963739b,iOS,,iOS,Apple,00000000-0000-0000-1000-3c94fd081c36,eduroam,f6f56648-82d3-4084-9d82-61552b2d8f9e,u_018479069b3b0bc02014df384bc44ed1ecfd8f998aa4cb33b15afe8e6078378f,ax,5,231,WPA3-EAP-SHA256/CCMP,623eeeab-ceb4-4c42-b795-6fee7e86d019,unknown,2025-11-14 11:15:00,2025-11-14T08:57:43,-49,43,2.0,286.7,24.0,56751,25675,73987640,8920571,1572,738,0,0,1511.4946393564644,970.6478060494821,46.449356,29.82873,1,4063,1763114726,True,False,60,20251114,111500
c7206857-586f-460a-8ef9-a0f01963739b,,,Windows 10/11,CLOUD NETWORK TECHNOLOGY SINGAPORE PTE. LTD.,00000000-0000-0000-1000-3c94fd001cd9,eduroam,f6f56648-82d3-4084-9d82-61552b2d8f9e,u_92383985288c303c16fc90bea05a8d66c41fcea2919a9d4024cd9a1b0d8950f8,ax,5,231,WPA3-EAP-SHA256/CCMP,623eeeab-ceb4-4c42-b795-6fee7e86d019,unknown,2025-11-14 11:15:00,2025-11-14T09:29:59,-47,43,0.0,487.5,258.0,162338,63630,322095600,13965332,9977,5854,106358,114086,1470.9257560156193,3440.0601336926743,45.202644,105.71561,1,2157,1763114756,True,False,44,20251114,111500
c7206857-586f-460a-8ef9-a0f01963739b,iOS,,iOS,Apple,00000000-0000-0000-1000-3c94fd081ac4,eduroam,f6f56648-82d3-4084-9d82-61552b2d8f9e,u_5ed117f6123bf9aeb8117c7994907cb5684e0e1e664dee892ff41248ebf2940e,ax,5,231,WPA3-EAP-SHA256/CCMP,d1c470f8-8ff8-4e3f-a599-1941246d140d,unknown,2025-11-14 11:15:00,2025-11-14T09:59:50,-66,28,0.0,325.0,24.0,3344,3446,695042,668911,1298,273,6821,1007,2270.61102097273,2278.2558960661113,68.02143,68.25045,1,365,1763114755,True,False,100,20251114,111500
c7206857-586f-460a-8ef9-a0f01963739b,iPhone,14,18.6.2,Apple,00000000-0000-0000-1000-3c94fd042e8c,eduroam,f6f56648-82d3-4084-9d82-61552b2d8f9e,u_3f37b92da12d31361a54a3630eac2f16869197e5216a751879e2459fe5d6adaa,ax,5,231,WPA3-EAP-SHA256/CCMP,d1c470f8-8ff8-4e3f-a599-1941246d140d,unknown,2025-11-14 11:15:00,2025-11-14T09:54:24,-49,45,0.0,390.0,24.0,14553,7159,17760070,3608178,982,106,6531,34614,1376.0620614895736,3980.987422584796,41.223137,119.25973,1,611,1763114675,True,False,124,20251114,111500
c7206857-586f-460a-8ef9-a0f01963739b,Mac,MBA M2 2022,Catalina,Apple,00000000-0000-0000-1000-3c94fd081ac4,eduroam,f6f56648-82d3-4084-9d82-61552b2d8f9e,u_324f1e4af3ddbc7adaf4dd2d2708837a0fff2ab6b7b4587e0cc6a566d9ce410d,ax,5,231,WPA3-EAP-SHA256/CCMP,d1c470f8-8ff8-4e3f-a599-1941246d140d,unknown,2025-11-14 11:15:00,2025-11-14T09:58:15,-64,30,0.0,325.0,412.9,31649,34209,9747700,6767707,3715,1703,602833,84618,2153.199666015946,2356.1229979855048,64.5041,70.58314,1,460,1763114755,True,False,100,20251114,111500
c7206857-586f-460a-8ef9-a0f01963739b,,,Windows 10/11,Intel Corporate,00000000-0000-0000-1000-3c94fd001d47,eduroam,f6f56648-82d3-4084-9d82-61552b2d8f9e,u_c8863b6038219ce7779245f3e7ba13794698b063503f414b53ac545baaba2fe1,ac,5,231,WPA3-EAP-SHA256/CCMP,d1c470f8-8ff8-4e3f-a599-1941246d140d,unknown,2025-11-14 11:15:00,2025-11-14T09:31:58,-63,24,0.0,243.0,6.0,135877,72336,242160781,51935579,9083,705,12324,30772,1723.72272053546,874.1629930898121,51.63812,26.187584,1,2033,1763114751,True,False,108,20251114,111500
c7206857-586f-460a-8ef9-a0f01963739b,iPhone,13,18.6.2,Apple,00000000-0000-0000-1000-3c94fd001cd9,eduroam,f6f56648-82d3-4084-9d82-61552b2d8f9e,u_a846f6cf439624209dbf344fd762ea9d8417ddfae2490142cf48ffb722f76e7c,ax,5,231,WPA3-EAP-SHA256/CCMP,623eeeab-ceb4-4c42-b795-6fee7e86d019,unknown,2025-11-14 11:15:00,2025-11-14T09:30:17,-45,45,0.0,433.3,24.0,54399,21817,76701011,8021075,5890,1728,23396,992,1319.902179038703,3505.9664439506814,40.561577,107.74096,1,2139,1763114756,True,False,44,20251114,111500
c7206857-586f-460a-8ef9-a0f01963739b,iOS,,iOS,Apple,00000000-0000-0000-1000-3c94fd03e7f6,eduroam,f6f56648-82d3-4084-9d82-61552b2d8f9e,u_ab0d363f17366b0808081d545759c119f09ea940035d1c210841aec90f0efa36,ax,5,231,WPA3-EAP-SHA256/CCMP,663a0651-8906-43c8-9998-292cef2a0d2b,unknown,2025-11-14 11:15:00,2025-11-14T09:59:52,-52,35,0.0,309.7,24.0,3540,2957,1707667,988966,421,165,14945,3892,2441.4541294845017,3187.119398616606,71.5954,93.46196,1,364,1763114756,True,False,124,20251114,111500
c7206857-586f-460a-8ef9-a0f01963739b,,,Windows XP,AzureWave Technology Inc.,00000000-0000-0000-1000-3c94fd08428d,eduroam,f6f56648-82d3-4084-9d82-61552b2d8f9e,u_fe631b0560623dff9e62b22d89049039600b0a439decb32a34d14d3c7039dc54,ac,5,231,WPA3-EAP-SHA256/CCMP,bc1f090d-c367-4b20-ba23-2806d53b194c,unknown,2025-11-14 11:15:00,2025-11-14T10:01:28,-68,28,0.0,300.0,360.0,10698,9352,12829744,4357336,840,985,16665,7003,1324.014232512137,2487.2839123913077,40.938606,76.90698,1,265,1763114753,False,False,60,20251114,111500
c7206857-586f-460a-8ef9-a0f01963739b,,,Windows 8,Intel Corporate,00000000-0000-0000-1000-3c94fd084332,eduroam,f6f56648-82d3-4084-9d82-61552b2d8f9e,u_6cd4203816dc70e9f0ec03a44e960686f0ebbe3e733ac911a4c0d4db850a7488,ax,5,231,WPA3-EAP-SHA256/CCMP,bc1f090d-c367-4b20-ba23-2806d53b194c,unknown,2025-11-14 11:15:00,2025-11-14T10:01:07,-68,24,0.0,130.0,275.2,40802,56343,57652479,14543809,19522,355,17590,13698,1238.4045803843471,1221.999795930847,38.29155,37.784313,1,276,1763114743,False,False,36,20251114,111500
c7206857-586f-460a-8ef9-a0f01963739b,iOS,,iOS,Apple,00000000-0000-0000-1000-3c94fd0816ff,eduroam,f6f56648-82d3-4084-9d82-61552b2d8f9e,u_bc429c2a53d46e0db9a2ba52dc60124024b595725964030ea39fbf9a543acd00,ax,5,231,WPA3-EAP-SHA256/CCMP,bc1f090d-c367-4b20-ba23-2806d53b194c,unknown,2025-11-14 11:15:00,2025-11-14T10:04:23,-55,38,0.0,344.1,258.0,329,199,53487,55400,51,6,40708,2837,2720.5896969342166,2359.977581938283,84.12081,72.97066,2,32,1763114695,True,False,100,20251114,111500
