year,faculties,title,code,credits,evaluation_methods,second_chance
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 3']",Real-life Integrated Software Engineering,193772,18 studiepunten,"[[{'moment': 'Binnen en buiten examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Observatie van functioneren van de student', 'percentage': '30,00'}]]",wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 3']",Keuze: Real-life Integrated Software Engineering NL-EN,193773,18 studiepunten,,wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 3']",Real-life Integrated Software Engineering (English taught),193774,18 studiepunten,"[[{'moment': 'Binnen en buiten examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Observatie van functioneren van de student', 'percentage': '30,00'}]]",wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 3', 'U!REKA Online Courses']",A.I. for the bachelorstudent (English taught),193775,3 studiepunten,"[[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '50,00'}, {'moment': 'Buiten examenrooster', 'format': 'Paper', 'percentage': '50,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Paper', 'percentage': '50,00'}, {'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '50,00'}]]",wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 3']",Real-life Integrated Software Engineering,193779,18 studiepunten,"[[{'moment': 'Binnen en buiten examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Observatie van functioneren van de student', 'percentage': '30,00'}]]",wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 3']",Real-life Integrated Software Engineering,193783,18 studiepunten,"[[{'moment': 'Binnen en buiten examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Observatie van functioneren van de student', 'percentage': '30,00'}]]",wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 3']",Mobile Application Development: Android,193784,4 studiepunten,"[[{'moment': 'Binnen en buiten examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Observatie van functioneren van de student', 'percentage': '30,00'}]]",wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 3']",Enterprise Web Development: C#,193785,6 studiepunten,"[[{'moment': 'Binnen en buiten examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Observatie van functioneren van de student', 'percentage': '30,00'}]]",wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 3']",DevOps Project: Development,193786,8 studiepunten,"[[{'moment': 'Binnen en buiten examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Observatie van functioneren van de student', 'percentage': '30,00'}]]",wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 2']",Cybersecurity & Virtualisation,193787,4 studiepunten,"[[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '45,00'}, {'moment': 'Binnen examenrooster', 'format': 'Vaardigheidstest', 'percentage': '30,00'}, {'moment': 'Buiten examenrooster', 'format': 'Ontwerp', 'percentage': '25,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '45,00'}, {'moment': 'Binnen examenrooster', 'format': 'Vaardigheidstest', 'percentage': '30,00'}, {'moment': 'Buiten examenrooster', 'format': 'Ontwerp', 'percentage': '25,00'}]]",wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 3']",Data Engineering Project II,193788,8 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Andere', 'percentage': '30,00'}, {'moment': 'Buiten examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Andere', 'percentage': '30,00'}, {'moment': 'Binnen examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}]]",wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 3']",Real-life Integrated Software Engineering,193789,12 studiepunten,"[[{'moment': 'Binnen en buiten examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Observatie van functioneren van de student', 'percentage': '30,00'}]]",wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 3']",Real-life Integrated Software Engineering,193790,12 studiepunten,"[[{'moment': 'Binnen en buiten examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Observatie van functioneren van de student', 'percentage': '30,00'}]]",wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 3']",Real-life Integrated Software Engineering,193791,12 studiepunten,"[[{'moment': 'Binnen en buiten examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Observatie van functioneren van de student', 'percentage': '30,00'}]]",wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 1']",Object-oriented Software Development I,193794,7 studiepunten,"[[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}]]",wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 1']",Software Analysis,193795,3 studiepunten,"[[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '85,00'}, {'moment': 'Buiten examenrooster', 'format': 'Ontwerp', 'percentage': '15,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Ontwerp', 'percentage': '15,00'}, {'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '85,00'}]]",wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 1']",Databases,193796,4 studiepunten,"[[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '55,00'}, {'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '30,00'}, {'moment': 'Buiten examenrooster', 'format': 'Andere', 'percentage': '15,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '70,00'}, {'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '30,00'}]]",wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 1']",IT Fundamentals,193797,5 studiepunten,"[[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}]]",wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 1']",Computer Systems,193798,4 studiepunten,"[[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}]]",wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 1']",Cybersecurity,193799,3 studiepunten,"[[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}]]",wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 1']",Web Development I,193800,4 studiepunten,"[[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}]]",wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 1']",Web Development II,193801,5 studiepunten,"[[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}]]",wel mogelijk.
