year,faculties,title,code,credits,evaluation_methods,second_chance
2025-26,"['Graduaat in de HVAC-systemen, trajectschijf 1']",Ventilatie 1: basis,194296,6 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Ontwerp', 'percentage': '5,00'}, {'moment': 'Buiten examenrooster', 'format': 'Schriftelijk examen', 'percentage': '50,00'}, {'moment': 'Buiten examenrooster', 'format': 'Schriftelijk examen', 'percentage': '30,00'}, {'moment': 'Buiten examenrooster', 'format': 'Verslag', 'percentage': '5,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '80,00'}, {'moment': 'Binnen examenrooster', 'format': 'Verslag', 'percentage': '5,00'}, {'moment': 'Buiten examenrooster', 'format': 'Ontwerp', 'percentage': '5,00'}], [{'moment': 'Buiten examenrooster', 'format': 'Vaardigheidstest', 'percentage': '10,00'}]]",wel mogelijk.
2025-26,"['Graduaat in de HVAC-systemen, trajectschijf 1']",Verwarming 1: basis,194297,6 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '100,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}]]",wel mogelijk.
2025-26,"['Graduaat in de HVAC-systemen, trajectschijf 1']",Koelsystemen 1: basis,194298,6 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '20,00'}, {'moment': 'Buiten examenrooster', 'format': 'Schriftelijk examen', 'percentage': '50,00'}, {'moment': 'Buiten examenrooster', 'format': 'Schriftelijk examen', 'percentage': '30,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}]]",wel mogelijk.
2025-26,"['Graduaat in de HVAC-systemen, trajectschijf 1']",Montagetechnieken,194299,3 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '100,00'}]]",niet mogelijk.
2025-26,"['Graduaat in de HVAC-systemen, trajectschijf 1']",HVAC-regeltechnieken,194300,3 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Schriftelijk examen', 'percentage': '60,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '60,00'}], [{'moment': 'Buiten examenrooster', 'format': 'Vaardigheidstest', 'percentage': '40,00'}]]",wel mogelijk.
2025-26,"['Graduaat in de HVAC-systemen, trajectschijf 1']",Energiemanagement,194301,3 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}]]",wel mogelijk.
2025-26,"['Graduaat in de HVAC-systemen, trajectschijf 1']",Duurzaamheid,194302,3 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '40,00'}, {'moment': 'Buiten examenrooster', 'format': 'Schriftelijk examen', 'percentage': '60,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '40,00'}, {'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '60,00'}]]",wel mogelijk.
2025-26,"['Graduaat in de HVAC-systemen, trajectschijf 2']",Verwarming 2: installatie en onderhoud,194303,8 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Observatie van functioneren van de student', 'percentage': '20,00'}, {'moment': 'Buiten examenrooster', 'format': 'Ontwerp', 'percentage': '10,00'}, {'moment': 'Buiten examenrooster', 'format': 'Vaardigheidstest', 'percentage': '70,00'}]]",niet mogelijk.
2025-26,"['Graduaat in de HVAC-systemen, trajectschijf 2']",Koelsystemen 2: installatie en onderhoud,194304,6 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Observatie van functioneren van de student', 'percentage': '20,00'}, {'moment': 'Buiten examenrooster', 'format': 'Vaardigheidstest', 'percentage': '30,00'}, {'moment': 'Buiten examenrooster', 'format': 'Vaardigheidstest', 'percentage': '50,00'}]]",niet mogelijk.
2025-26,"['Graduaat in de HVAC-systemen, trajectschijf 2']",Ventilatie 2: installatie en onderhoud,194305,4 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Observatie van functioneren van de student', 'percentage': '20,00'}, {'moment': 'Buiten examenrooster', 'format': 'Ontwerp', 'percentage': '10,00'}, {'moment': 'Buiten examenrooster', 'format': 'Vaardigheidstest', 'percentage': '70,00'}]]",niet mogelijk.
2025-26,"['Graduaat in de HVAC-systemen, trajectschijf 2']",Duurzame HVAC-technologie,194306,3 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Schriftelijk examen', 'percentage': '30,00'}, {'moment': 'Buiten examenrooster', 'format': 'Vaardigheidstest', 'percentage': '70,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '30,00'}, {'moment': 'Binnen examenrooster', 'format': 'Vaardigheidstest', 'percentage': '70,00'}]]",wel mogelijk.
