RoomKey,Building,RoomFloor,Code,RoomName,Category,Capacity,Area
2104,2,5,01.02.150.905,GSCHB.5.905,traphal,NULL,17.65
2202,2,2,01.02.120.038,GSCHB.2.038,instrumentenlokaal,NULL,15.85
2203,2,2,01.02.120.016,GSCHB.2.016,instrumentenlokaal,NULL,30.62
2204,2,2,01.02.120.041,GSCHB.2.041,instrumentenlokaal,NULL,47.81
2209,2,2,01.02.120.036,GSCHB.2.036,instrumentenlokaal,NULL,39.68
2211,2,2,01.02.120.037,GSCHB.2.037,instrumentenlokaal,NULL,14.77
2214,2,1,01.02.110.039,GSCHB.1.039,instrumentenlokaal,NULL,17.71
2226,2,0,01.02.100.053,GSCHB.0.053,kleedkamer,NULL,20.7
2229,2,4,01.02.140.003,GSCHB.4.003,kleedkamer,NULL,8.19
2268,2,1,01.02.110.005,GSCHB.1.005,docentenruimte,NULL,113.09
2271,2,4,01.02.140.038,GSCHB.4.038,samenvoeginglokalen,NULL,0
2275,2,4,01.02.140.033,GSCHB.4.033,samenvoeginglokalen,NULL,0
2276,2,4,01.02.140.036,GSCHB.4.036,samenvoeginglokalen,NULL,0
2278,2,3,01.02.130.033,GSCHB.3.033,samenvoeginglokalen,NULL,0
2285,2,1,01.02.110.006,GSCHB.1.006,samenvoeginglokalen,NULL,0
2286,2,3,01.02.130.030,GSCHB.3.030,samenvoeginglokalen,NULL,0
2291,2,3,01.02.130.027,GSCHB.3.027,laptoplokaal,28,52.78
2293,2,2,01.02.120.010,GSCHB.2.010,laptoplokaal,28,56.21
2294,2,3,01.02.130.037,GSCHB.3.037,laptoplokaal,38,97.4
2295,2,1,01.02.110.037,GSCHB.1.037,laptoplokaal,32,68.5
2296,2,3,01.02.130.012,GSCHB.3.012,laptoplokaal,28,52.9
2299,2,1,01.02.110.031,GSCHB.1.031,laptoplokaal,38,70.51
2301,2,1,01.02.110.014,GSCHB.1.014,laptoplokaal,90,142.48
2302,2,1,01.02.110.036,GSCHB.1.036,laptoplokaal,32,47
2303,2,3,01.02.130.035,GSCHB.3.035,laptoplokaal,27,77.39
2304,2,4,01.02.140.029,GSCHB.4.029,laptoplokaal,42,88.68
2305,2,3,01.02.130.032,GSCHB.3.032,laptoplokaal,68,168.84
2308,2,2,01.02.120.009,GSCHB.2.009,laptoplokaal,28,55.93
2309,2,4,01.02.140.013,GSCHB.4.013,laptoplokaal,49,121
2311,2,4,01.02.140.012,GSCHB.4.012,laptoplokaal,40,98
2313,2,3,01.02.130.028,GSCHB.3.028,laptoplokaal,27,52.2
2316,2,3,01.02.130.013,GSCHB.3.013,laptoplokaal,38,70.04
2317,2,3,01.02.130.036,GSCHB.3.036,laptoplokaal,69,129.94
2318,2,4,01.02.140.032,GSCHB.4.032,laptoplokaal,66,167.16
2319,2,2,01.02.120.011,GSCHB.2.011,laptoplokaal,28,56.23
2322,2,3,01.02.130.029,GSCHB.3.029,laptoplokaal,59,90.21
2323,2,1,01.02.110.011,GSCHB.1.011,laptoplokaal,42,75.06
2326,2,3,01.02.130.026,GSCHB.3.026,laptoplokaal,25,52.11
2327,2,1,01.02.110.013,GSCHB.1.013,laptoplokaal,NULL,0
2376,2,0,01.02.100.019,GSCHB.0.019,technischeruimte,NULL,4.46
2381,2,3,01.02.130.025,GSCHB.3.025,technischeruimte,NULL,11.21
2385,2,4,01.02.140.025,GSCHB.4.025,technischeruimte,NULL,9.4
2392,2,0,01.02.100.058,GSCHB.0.058,technischeruimte,NULL,196.37
2400,2,1,01.02.110.025,GSCHB.1.025,technischeruimte,NULL,9.4
2401,2,0,01.02.100.011,GSCHB.0.011,technischeruimte,NULL,3.1
2402,2,5,01.02.150.004,GSCHB.5.004,technischeruimte,NULL,13
2406,2,2,01.02.120.025,GSCHB.2.025,technischeruimte,NULL,9.4
2410,2,0,01.02.100.043,GSCHB.0.043,technischeruimte,NULL,9.91
2418,2,0,01.02.100.068,GSCHB.0.068,technischeruimte,NULL,11.47
2423,2,0,01.02.100.059,GSCHB.0.059,fotokopieerlokaal,NULL,16.78
2459,2,3,01.02.130.010,GSCHB.3.030,NULL,NULL,NULL
2524,2,3,01.02.130.042,GSCHB.3.029b,NULL,NULL,NULL
2529,2,4,01.02.140.034,GSCHB.4.025c,NULL,NULL,NULL
2533,2,3,01.02.130.010,GSCHB.3.010,NULL,NULL,NULL
2887,2,5,01.02.150.003,GSCHB.5.003,HVAC,NULL,76.78
2959,2,4,01.02.140.007,GSCHB.4.007,practicum,26,52.84
2968,2,4,01.02.140.037,GSCHB.4.037,practicum,72,146.63
3001,2,4,01.02.140.030,GSCHB.4.030,burelen,NULL,16.71
3005,2,4,01.02.140.002,GSCHB.4.002,burelen,NULL,8.13
3020,2,0,01.02.100.017,GSCHB.0.017,burelen,NULL,37.14
3033,2,2,01.02.120.034,GSCHB.2.034,burelen,NULL,51.48
3041,2,1,01.02.110.040,GSCHB.1.040,burelen,NULL,30.55
3046,2,1,01.02.110.016,GSCHB.1.016,burelen,NULL,50.34
3047,2,1,01.02.110.027,GSCHB.1.027,burelen,NULL,18.41
3052,2,0,01.02.100.018,GSCHB.0.018,burelen,NULL,52.53
3063,2,0,01.02.100.022,GSCHB.0.022,burelen,NULL,76.07
3064,2,0,01.02.100.014,GSCHB.0.014,burelen,NULL,63.81
3078,2,1,01.02.110.028,GSCHB.1.028,burelen,NULL,17.36
3084,2,2,01.02.120.040,GSCHB.2.040,burelen,NULL,23.32
3086,2,3,01.02.130.005,GSCHB.3.005,burelen,NULL,34.78
3090,2,4,01.02.140.009,GSCHB.4.009,burelen,NULL,52.62
3094,2,0,01.02.100.021,GSCHB.0.021,burelen,NULL,50.18
3102,2,0,01.02.100.016,GSCHB.0.016,burelen,NULL,37.46
3106,2,2,01.02.120.032,GSCHB.2.032,burelen,NULL,17.39
3111,2,2,01.02.120.029,GSCHB.2.029,burelen,NULL,34.66
3116,2,1,01.02.110.041,GSCHB.1.041,burelen,NULL,49.72
3117,2,0,01.02.100.015,GSCHB.0.015,burelen,NULL,37.66
3216,2,,03.02.100.001,GBPRO.0.Conciergewoning,huisbewaarderslokaal,NULL,0
3330,2,,21.02.100.003,GMRCB.0.003,bibliotheek,NULL,0
3336,2,,21.02.090.023,GMRCB.-1.noodtrap3,traphal,NULL,12.53
3346,2,,21.02.120.015,GMRCB.2.noodtrap1,traphal,NULL,14.13
3358,2,,21.02.110.000,GMRCB.1.hoofdtrap,traphal,NULL,15.77
3362,2,,21.02.120.000,GMRCB.2.hoofdtrap,traphal,NULL,59.1
3363,2,,21.02.120.021,GMRCB.2.trap,traphal,NULL,11.68
3371,2,,21.02.100.021,GMRCB.0.noodtrap2,traphal,NULL,15.77
3383,2,,21.02.100.020,GMRCB.0.trap,traphal,NULL,2.86
3385,2,,21.02.100.000,GMRCB.0.noodtrap1,traphal,NULL,0
3389,2,,21.02.130.007,GMRCB.3.trap,traphal,NULL,13.16
3398,2,,21.02.110.025,GMRCB.1.noodtrap1,traphal,NULL,59.55
3405,2,,21.02.090.019,GMRCB.-1.noodtrap1,traphal,NULL,30.99
3406,2,,21.02.100.018,GMRCB.0.hoofdtrap,traphal,NULL,15.75
3408,2,,21.02.090.020,GMRCB.-1.hoofdtrap,traphal,NULL,18.49
3424,2,,21.02.090.007,GMRCB.-1.noodtrap2,traphal,NULL,2.54
3447,2,,21.02.110.026,GMRCB.1.noodtrap2,traphal,NULL,42.97
3478,2,,21.02.090.011,GMRCB.-1.KO11waterbehandeling,waterbehandeling,NULL,65.59
3495,2,,21.02.120.013,GMRCB.2.013catering,verbruikslokaal,NULL,0
3523,2,,21.02.100.001,GMRCB.0.001oefenlokaalBibliotheek,PC-klas,NULL,0
3536,2,,21.02.090.021,GMRCB.-1.inkomhal,sas,NULL,19.07
3546,2,,21.02.120.018,GMRCB.2.gang,sas,NULL,0
3561,2,,21.02.110.010,GMRCB.1.010docentenkamer,groepslokaal,NULL,0
3569,2,,21.02.090.002,GMRCB.-1.KO2polyvalentezaal,groepslokaal,NULL,0
3591,2,,21.02.120.020,GMRCB.2.lift,liftkokers,NULL,2.54
3602,2,,21.02.100.019,GMRCB.0.lift,liftkokers,NULL,59.55
3619,2,,21.02.110.024,GMRCB.1.lift,liftkokers,NULL,33.09
3645,2,,21.02.090.012,GMRCB.-1.KO12laagspanning,elektriciteit,NULL,0
3884,2,,21.02.120.010,GMRCB.2.010vergaderlokaal,vergaderzaal,NULL,54.29
3890,2,,21.02.120.008,GMRCB.2.008berging,opslagplaats,NULL,0
3894,2,,21.02.110.015,GMRCB.1.015vakgroep,opslagplaats,NULL,0
3895,2,,21.02.110.011,GMRCB.1.011berging,opslagplaats,NULL,0
3900,2,,21.02.100.006,GMRCB.0.006berging,opslagplaats,NULL,0
3904,2,,21.02.090.010,GMRCB.-1.KO10gasmeter,opslagplaats,NULL,0
3913,2,,21.02.100.010,GMRCB.0.B.010berging,opslagplaats,NULL,0
3924,2,,21.02.110.021,GMRCB.1.gang,gang,NULL,15.75
3926,2,,21.02.100.025,GMRCB.0.gang,gang,NULL,0
3927,2,,21.02.120.016,GMRCB.2.gangen,gang,NULL,0
3928,2,,21.02.100.023,GMRCB.0.gang,gang,NULL,0
3937,2,,21.02.120.019,GMRCB.2.gang,gang,NULL,0
3938,2,,21.02.110.023,GMRCB.1.gang,gang,NULL,0
3939,2,,21.02.090.017,GMRCB.-1.dienstingang,gang,NULL,56.65
3951,2,,21.02.090.022,GMRCB.-1.gang,gang,NULL,23.98
3953,2,,21.02.100.017,GMRCB.0.overloop,gang,NULL,0
3959,2,,21.02.120.017,GMRCB.2.gangen,gang,NULL,0
3966,2,,21.02.100.016,GMRCB.0.gang,gang,NULL,42.97
3970,2,,21.02.110.022,GMRCB.1.gang,gang,NULL,2.86
3975,2,,21.02.090.018,GMRCB.-1.nooduitgang,gang,NULL,38.56
3983,2,,21.02.120.022,GMRCB.2.gaanderij,gang,NULL,0
3988,2,,21.02.090.000,GMRCB.-1.gangen,gang,NULL,0
3992,2,,21.02.130.000,GMRCB.3.gang,gang,NULL,13.11
4023,2,,21.02.090.008,GMRCB.-1.KO8WC,sanitair,NULL,17.18
4037,2,,21.02.100.007,GMRCB.0.007toiletten,sanitair,NULL,11.03
4079,2,,21.02.110.006,GMRCB.1.006toiletten,sanitair,NULL,11.03
4081,2,,21.02.120.002,GMRCB.2.002toiletten,sanitair,NULL,0
4088,2,,21.02.120.001,GMRCB.2.001toiletten,sanitair,NULL,0
4093,2,,21.02.100.009,GMRCB.0.009toieltten,sanitair,NULL,13.55
4096,2,,21.02.120.014,GMRCB.2.014toiletten,sanitair,NULL,0
4099,2,,21.02.110.005,GMRCB.1.005toiletten,sanitair,NULL,13.55
4117,2,,21.02.090.009,GMRCB.-1.KO9WC,sanitair,NULL,16.73
