year,faculties,title,code,credits,evaluation_methods,second_chance,is_group_project,classification_reason
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 1']",System Engineering Lab,193807,4 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '70,00'}, {'moment': 'Buiten examenrooster', 'format': 'Observatie van functioneren van de student', 'percentage': '30,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '70,00'}, {'moment': 'Binnen examenrooster', 'format': 'Observatie van functioneren van de student', 'percentage': '30,00'}]]",wel mogelijk.,True,Observatie van functioneren van de student
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 2']",Software Development Project II,193826,8 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Observatie van functioneren van de student', 'percentage': '30,00'}, {'moment': 'Binnen en buiten examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Observatie van functioneren van de student', 'percentage': '30,00'}, {'moment': 'Binnen examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}]]",wel mogelijk.,True,Project in titel
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 2']",System Engineering Project,193829,8 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Observatie van functioneren van de student', 'percentage': '30,00'}, {'moment': 'Buiten examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Observatie van functioneren van de student', 'percentage': '30,00'}, {'moment': 'Binnen examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}]]",wel mogelijk.,True,Project in titel
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 2']",Data Engineering Project I,193831,8 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Andere', 'percentage': '30,00'}, {'moment': 'Buiten examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Andere', 'percentage': '30,00'}, {'moment': 'Binnen examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}]]",wel mogelijk.,True,Project in titel
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 2']",Business Software Project,193834,8 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Observatie van functioneren van de student', 'percentage': '30,00'}, {'moment': 'Binnen en buiten examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Observatie van functioneren van de student', 'percentage': '30,00'}, {'moment': 'Binnen examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}]]",wel mogelijk.,True,Project in titel
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 3']",DevOps Project: Operations,193840,8 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Observatie van functioneren van de student', 'percentage': '30,00'}, {'moment': 'Buiten examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Observatie van functioneren van de student', 'percentage': '30,00'}, {'moment': 'Binnen examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}]]",wel mogelijk.,True,Project in titel
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 3']",Data Engineering Project II,193841,8 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Andere', 'percentage': '30,00'}, {'moment': 'Buiten examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Andere', 'percentage': '30,00'}, {'moment': 'Binnen examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}]]",wel mogelijk.,True,Project in titel
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 3']",Project e-Business,193844,8 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Observatie van functioneren van de student', 'percentage': '30,00'}, {'moment': 'Binnen en buiten examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Observatie van functioneren van de student', 'percentage': '30,00'}, {'moment': 'Binnen examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}]]",wel mogelijk.,True,Project in titel
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 3']",IP Project,193850,3 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '100,00'}], [{'moment': 'Binnen en buiten examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '100,00'}]]",wel mogelijk.,True,Project in titel
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 3']",Real-life Integrated Software Engineering,193867,18 studiepunten,"[[{'moment': 'Binnen en buiten examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Observatie van functioneren van de student', 'percentage': '30,00'}]]",wel mogelijk.,True,Observatie van functioneren van de student
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 3']",Enterprise Web Development: C#,193869,6 studiepunten,"[[{'moment': 'Binnen en buiten examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Observatie van functioneren van de student', 'percentage': '30,00'}]]",wel mogelijk.,True,Observatie van functioneren van de student
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 3']",Real-life Integrated Software Engineering,193871,12 studiepunten,"[[{'moment': 'Binnen en buiten examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Observatie van functioneren van de student', 'percentage': '30,00'}]]",wel mogelijk.,True,Observatie van functioneren van de student
