SubgroupKey;SubgroupCode;ProgramName;ProgramFamily;ProgramNameSource;ProgramFamilySource;InferenceConfidence;InferenceEvidenceCount
7768;6016870;;GRAD-BKT;;lecture_subgroup_cooccurrence;1.0;14.0
7769;6016871;GRAD-BKT/2B;GRAD-BKT;students;students;;
7770;6016877;GRAD-BKT/2B;GRAD-BKT;lecture_subgroup_cooccurrence;lecture_subgroup_cooccurrence;1.0;21.0
7771;6016878;GRAD-BKT/2B;GRAD-BKT;students;students;;
7772;6016884;GRAD-BKT/2A;GRAD-BKT;students;students;;
7773;6016885;GRAD-BKT/2B;GRAD-BKT;students;students;;
7774;6016898;GRAD-BKT/2A;GRAD-BKT;students;students;;
7775;6016899;GRAD-BKT/2B;GRAD-BKT;students;students;;
7776;6016905;GRAD-BKT/2A;GRAD-BKT;students;students;;
7777;6016906;GRAD-BKT/2B;GRAD-BKT;students;students;;
7778;6016914;;;;;;
7779;6016915;;;;;;
7780;6017124;PBA-BM-RE/AO/2SEM2;PBA-BM-RE;students;students;;
7781;6017601;PBA-VPK4/VT/2SEM2;PBA-VPK4;students;students;;
7782;6017602;PBA-VPK4/4SEM2;PBA-VPK4;lecture_subgroup_cooccurrence;lecture_subgroup_cooccurrence;1.0;4.0
7783;6017604;PBA-VPK4/VT/2SEM2;PBA-VPK4;students;students;;
7784;6017678;PBA-VPK4/VT/3SEM1;PBA-VPK4;students;students;;
7785;6017680;PBA-VPK4/VT/3SEM1;PBA-VPK4;students;students;;
7786;6017682;;;;;;
7787;6017684;PBA-VPK4/VT/3SEM1;PBA-VPK4;students;students;;
7788;6018080;;;;;;
7789;6018100;;;;;;
7790;6018318;PBA-TIN-TI/3A3;PBA-TIN-TI;students;students;;
7791;6018340;;;;;;
7792;6018355;PBA-TIN-TI/VT/PROG/S1;PBA-TIN-TI;students;students;;
7793;6018417;PBA-VG-VG/AO/2;PBA-VG-VG;students;students;;
7794;6018418;;;;;;
7795;6018420;;;;;;
7796;6018421;PBA-VG-VG/AO/2;PBA-VG-VG;students;students;;
7797;6018422;PBA-VG-VG/AO/2;PBA-VG-VG;students;students;;
7798;6018423;;;;;;
7799;6018426;PBA-VG-VG/AO/2;PBA-VG-VG;students;students;;
7800;6018427;PBA-VG-VG/AO/2;PBA-VG-VG;students;students;;
7801;6018428;PBA-VG-VG/AO/2;PBA-VG-VG;students;students;;
7802;6018429;PBA-VG-VG/AO/2;PBA-VG-VG;students;students;;
7803;6018430;PBA-VG-VG/AO/2;PBA-VG-VG;students;students;;
7804;6018431;PBA-VG-VG/AO/2;PBA-VG-VG;students;students;;
7805;6018432;PBA-VG-VG/AO/2;PBA-VG-VG;students;students;;
7806;6018515;PBA-VG-VG/AO/2;PBA-VG-VG;students;students;;
7807;6018684;PBA-VG-VG/AO/3A;PBA-VG-VG;students;students;;
7808;6018685;PBA-VG-VG/AO/3A;PBA-VG-VG;students;students;;
7809;6018687;PBA-VG-VG/AO/3A;PBA-VG-VG;students;students;;
7810;6018688;;;;;;
7811;6018689;;;;;;
7812;6018690;PBA-VG-VG/3A;PBA-VG-VG;lecture_subgroup_cooccurrence;lecture_subgroup_cooccurrence;1.0;5.0
7813;6018713;PBA-VG-VG/AO/3A;PBA-VG-VG;students;students;;
7814;6018714;PBA-VG-VG/AO/3A;PBA-VG-VG;students;students;;
7815;6018893;PBA-VG-VG/AO/3B;PBA-VG-VG;students;students;;
7816;6018894;PBA-VG-VG/AO/3B;PBA-VG-VG;students;students;;
7817;6019102;;PBA-VG-VG;;lecture_subgroup_cooccurrence;1.0;11.0
7818;6019103;;PBA-VG-VG;;lecture_subgroup_cooccurrence;1.0;11.0
7819;6019110;;;;;;
7820;6019111;;;;;;
7821;6019112;;;;;;
7822;6019113;PBA-VG-VG/3C;PBA-VG-VG;lecture_subgroup_cooccurrence;lecture_subgroup_cooccurrence;1.0;3.0
7823;6019114;;;;;;
7824;6019228;PBA-CH/1B1;PBA-CH;students;students;;
7825;6019229;PBA-CH/1B2;PBA-CH;students;students;;
7826;6019240;PBA-CH/1D2;PBA-CH;students;students;;
7827;6019241;PBA-CH/1E1;PBA-CH;students;students;;
7828;6019243;PBA-CH/1A1;PBA-CH;students;students;;
7829;6019244;PBA-CH/1C1;PBA-CH;students;students;;
7830;6019245;PBA-CH/1D1;PBA-CH;students;students;;
7831;6019246;PBA-CH/1F1;PBA-CH;students;students;;
7832;6019247;PBA-CH/1F2;PBA-CH;students;students;;
7833;6019248;PBA-CH/1A2;PBA-CH;students;students;;
7834;6019249;PBA-CH/1C2;PBA-CH;students;students;;
7835;6019250;PBA-CH/1E2;PBA-CH;students;students;;
7836;6019273;GRAD-SYS1-GENT/AVOND/1A;GRAD-SYS1-GENT;students;students;;
7837;6019296;;;;;;
7838;6019297;;;;;;
7839;6019301;GRAD-SYS1-GENT/DAG/2F3;GRAD-SYS1-GENT;students;students;;
7840;6019305;GRAD-EMS-MRT/DAG/1A;GRAD-EMS-MRT;students;students;;
7841;6019306;GRAD-EMS-OHT/DAG/1A;GRAD-EMS-OHT;students;students;;
7842;6019307;GRAD-EMS-OHT/DAG/1B;GRAD-EMS-OHT;students;students;;
7843;6019324;GRAD-EMS-MRT/DAG/1B;GRAD-EMS-MRT;students;students;;
7844;6019330;GRAD-EMS/AVOND/1A;GRAD-EMS;students;students;;
7845;6019331;GRAD-EMS/AVOND/1B;GRAD-EMS;students;students;;
7846;6019349;GRAD-EMS-MRT/DAG/1A;GRAD-EMS-MRT;students;students;;
7847;6019350;GRAD-EMS-OHT/DAG/1A;GRAD-EMS-OHT;students;students;;
7848;6019351;GRAD-EMS-OHT/DAG/1B;GRAD-EMS-OHT;students;students;;
7849;6019368;;;;;;
7850;6019380;GRAD-EMS-MRT/AVOND/2A;GRAD-EMS-MRT;students;students;;
7851;6019381;GRAD-EMS-OHT/AVOND/2A;GRAD-EMS-OHT;students;students;;
7852;6019640;;;;;;
7853;6019648;GRAD-EMS-MRT/DAG/1A;GRAD-EMS-MRT;students;students;;
7854;6019649;GRAD-EMS-OHT/DAG/1A;GRAD-EMS-OHT;students;students;;
7855;6019650;GRAD-EMS-OHT/DAG/1B;GRAD-EMS-OHT;students;students;;
7856;6019667;GRAD-EMS-MRT/DAG/1B;GRAD-EMS-MRT;students;students;;
7857;6019679;;;;;;
7858;6019680;;;;;;
7859;6019719;;;;;;
7860;6019734;GRAD-EMS-MRT/DAG/2B;GRAD-EMS-MRT;students;students;;
7861;6019764;GRAD-EMS-OHT/DAG/2A;GRAD-EMS-OHT;students;students;;
7862;6019765;GRAD-EMS-OHT/DAG/2B1;GRAD-EMS-OHT;students;students;;
7863;6019766;GRAD-EMS-OHT/DAG/2B2;GRAD-EMS-OHT;students;students;;
7864;6019781;GRAD-SYS2-AALST/DAG/2A;GRAD-SYS2-AALST;students;students;;
7865;6019784;GRAD-SYS2-AALST/DAG/2A;GRAD-SYS2-AALST;students;students;;
7866;6019786;GRAD-SYS2-AALST/DAG/1A;GRAD-SYS2-AALST;lecture_subgroup_cooccurrence;lecture_subgroup_cooccurrence;1.0;8.0
7867;6019794;PBA-CH-CH/2A;PBA-CH-CH;students;students;;
7868;6019799;PBA-CH-CH/2B;PBA-CH-CH;students;students;;
7869;6019854;PBA-CH-CH/2A;PBA-CH-CH;students;students;;
7870;6019859;PBA-CH-CH/2B;PBA-CH-CH;students;students;;
7871;6020086;PBA-VG-LAM/AO/1;PBA-VG-LAM;students;students;;
7872;6020341;;;;;;
7873;6020392;PBA-VG-LAM/AO/1;PBA-VG-LAM;students;students;;
7874;6020443;PBA-VG-LAM/AO/1;PBA-VG-LAM;students;students;;
7875;6020596;PBA-VG-LAM/AO/1;PBA-VG-LAM;students;students;;
7876;6020698;PBA-VG-LAM/AO/1;PBA-VG-LAM;students;students;;
7877;6020716;PBA-MODE/1A;PBA-MODE;students;students;;
7878;6020717;PBA-MODE/1B1;PBA-MODE;students;students;;
7879;6020718;PBA-MODE/1D;PBA-MODE;students;students;;
7880;6020719;PBA-MODE/1C;PBA-MODE;students;students;;
7881;6020726;PBA-MODE/1E1;PBA-MODE;students;students;;
7882;6020727;PBA-MODE/1B2;PBA-MODE;students;students;;
7883;6020729;PBA-MODE/1E2;PBA-MODE;students;students;;
7884;6020732;PBA-MODE/1A;PBA-MODE;students;students;;
7885;6020733;PBA-MODE/1B1;PBA-MODE;students;students;;
7886;6020734;;PBA-MODE;;lecture_subgroup_cooccurrence;1.0;12.0
7887;6020735;PBA-MODE/1C;PBA-MODE;students;students;;
7888;6020742;PBA-MODE/1E1;PBA-MODE;students;students;;
7889;6020743;PBA-MODE/1B2;PBA-MODE;students;students;;
7890;6020745;;PBA-MODE;;lecture_subgroup_cooccurrence;1.0;12.0
7891;6020752;PBA-MODE/2A;PBA-MODE;students;students;;
7892;6020753;PBA-MODE/2B;PBA-MODE;students;students;;
7893;6020756;PBA-MODE/2C;PBA-MODE;students;students;;
7894;6020760;PBA-MODE/2D;PBA-MODE;students;students;;
7895;6020764;PBA-MODE/1A;PBA-MODE;students;students;;
7896;6020765;PBA-MODE/1B1;PBA-MODE;students;students;;
7897;6020766;PBA-MODE/1D;PBA-MODE;students;students;;
7898;6020767;PBA-MODE/1C;PBA-MODE;students;students;;
7899;6020774;PBA-MODE/1E1;PBA-MODE;students;students;;
7900;6020775;PBA-MODE/1B2;PBA-MODE;students;students;;
7901;6020777;PBA-MODE/1E2;PBA-MODE;students;students;;
7902;6020784;PBA-MODE/2A;PBA-MODE;students;students;;
7903;6020785;PBA-MODE/2B;PBA-MODE;students;students;;
7904;6020788;PBA-MODE/2C;PBA-MODE;students;students;;
7905;6020792;;PBA-MODE;;lecture_subgroup_cooccurrence;1.0;13.0
7906;6020816;PBA-ORTH/3A1;PBA-ORTH;students;students;;
7907;6020817;;PBA-ORTH;;lecture_subgroup_cooccurrence;1.0;34.0
7908;6020818;PBA-ORTH/3A3;PBA-ORTH;students;students;;
7909;6020819;;PBA-ORTH;;lecture_subgroup_cooccurrence;1.0;34.0
7910;6020820;;PBA-ORTH;;lecture_subgroup_cooccurrence;1.0;34.0
7911;6020821;;PBA-ORTH;;lecture_subgroup_cooccurrence;1.0;34.0
7912;6020822;PBA-ORTH/3B1;PBA-ORTH;students;students;;
7913;6020823;PBA-ORTH/3B2;PBA-ORTH;students;students;;
7914;6020824;;PBA-ORTH;;lecture_subgroup_cooccurrence;1.0;34.0
7915;6020825;PBA-ORTH/3B4;PBA-ORTH;students;students;;
7916;6020826;PBA-ORTH/3B5;PBA-ORTH;students;students;;
7917;6020827;PBA-ORTH/3B6;PBA-ORTH;students;students;;
7918;6020881;PBA-ORTH/3A1;PBA-ORTH;students;students;;
7919;6020882;;PBA-ORTH;;lecture_subgroup_cooccurrence;1.0;31.0
7920;6020883;PBA-ORTH/3A3;PBA-ORTH;students;students;;
7921;6020884;;PBA-ORTH;;lecture_subgroup_cooccurrence;1.0;31.0
7922;6020885;;PBA-ORTH;;lecture_subgroup_cooccurrence;1.0;31.0
7923;6020886;PBA-ORTH/3A6;PBA-ORTH;students;students;;
7924;6020887;PBA-ORTH/3B1;PBA-ORTH;students;students;;
7925;6020888;PBA-ORTH/3B2;PBA-ORTH;students;students;;
7926;6020889;PBA-ORTH/3B3;PBA-ORTH;students;students;;
7927;6020890;;PBA-ORTH;;lecture_subgroup_cooccurrence;1.0;31.0
7928;6020891;;PBA-ORTH;;lecture_subgroup_cooccurrence;1.0;31.0
7929;6020892;;PBA-ORTH;;lecture_subgroup_cooccurrence;1.0;31.0
7930;6021032;PBA-ORTH/AO/3;PBA-ORTH;students;students;;
7931;6021292;;;;;;
7932;6021422;PBA-ORTH/AO/3;PBA-ORTH;students;students;;
7933;6022265;;PBA-SO;;lecture_subgroup_cooccurrence;1.0;3.0
7934;6022267;;PBA-SO;;lecture_subgroup_cooccurrence;1.0;7.0
7935;6022271;PBA-SO/LOBR/3SEM1;PBA-SO;students;students;;
7936;6022624;;PBA-BM-SCM;;lecture_subgroup_cooccurrence;1.0;3.0
7937;6022645;;PBA-BM-SCM;;lecture_subgroup_cooccurrence;1.0;3.0
7938;6022646;PBA-BM-SCM/VT/MKMLRE/;PBA-BM-SCM;students;students;;
7939;6022666;;PBA-BM-SCM;;lecture_subgroup_cooccurrence;1.0;3.0
7940;6022766;PBA-BM-SCM/2A;PBA-BM-SCM;students;students;;
7941;6022975;;;;;;
7942;6023184;PBA-BM-SCM/2A;PBA-BM-SCM;students;students;;
7943;6023393;PBA-BM-SCM/VT/MKMLRE/;PBA-BM-SCM;lecture_subgroup_cooccurrence;lecture_subgroup_cooccurrence;1.0;29.0
7944;6023460;PBA-BM-SCM/VT/MKMLRE/;PBA-BM-SCM;lecture_subgroup_cooccurrence;lecture_subgroup_cooccurrence;1.0;29.0
7945;6024356;PBA-LA/3SEM2;PBA-LA;students;students;;
7946;6024361;PBA-LA-AU/3;PBA-LA-AU;lecture_subgroup_cooccurrence;lecture_subgroup_cooccurrence;0.9230769230769231;36.0
7947;6024372;PBA-LA/3SEM2;PBA-LA;students;students;;
7948;6024373;PBA-LA/3SEM2;PBA-LA;students;students;;
7949;6024414;;;;;;
7950;6024417;;;;;;
7951;6024505;PBA-SO/LOBR/3A;PBA-SO;students;students;;
7952;6024506;PBA-SO/LOBR/3B;PBA-SO;students;students;;
7953;6024523;PBA-SO/LOBR/3C;PBA-SO;students;students;;
7954;6024559;PBA-SO/LOBR/3A;PBA-SO;students;students;;
7955;6024560;PBA-SO/LOBR/3B;PBA-SO;students;students;;
7956;6024577;PBA-SO/LOBR/3C;PBA-SO;students;students;;
7957;6024613;PBA-SO/LOBR/3A;PBA-SO;students;students;;
7958;6024614;PBA-SO/LOBR/3B;PBA-SO;students;students;;
7959;6024631;PBA-SO/LOBR/3C;PBA-SO;students;students;;
7960;6024776;PBA-SO/LOBR/AO/3A;PBA-SO;students;students;;
7961;6024786;;PBA-SO;;lecture_subgroup_cooccurrence;1.0;5.0
7962;6024792;;PBA-SO;;lecture_subgroup_cooccurrence;1.0;5.0
7963;6024830;;PBA-SO;;lecture_subgroup_cooccurrence;1.0;24.0
7964;6024840;PBA-SO/LOBR/AO/3B;PBA-SO;students;students;;
7965;6024846;;PBA-SO;;lecture_subgroup_cooccurrence;1.0;22.0
7966;6024884;PBA-SO/LOBR/AO/3A;PBA-SO;students;students;;
7967;6024894;PBA-SO/LOBR/AO/3B;PBA-SO;students;students;;
7968;6024900;;PBA-SO;;lecture_subgroup_cooccurrence;1.0;20.0
7969;6025288;;;;;;
7970;6025325;;;;;;
7971;6025330;PBA-AGR/2JAAR;PBA-AGR;students;students;;
7972;6025922;MC/AO/DURC/1;MC;students;students;;
7973;6026193;;;;;;
7974;6026258;;GRAD-WERF-WEG;;lecture_subgroup_cooccurrence;0.8571428571428571;36.0
7975;6026286;;;;;;
7976;6026375;GRAD-WERF-WON/2SEM1;GRAD-WERF-WON;students;students;;
7977;6026597;GRAD-SYS1-GENT/DAG/1A;GRAD-SYS1-GENT;students;students;;
7978;6026598;;GRAD-SYS1-GENT;;lecture_subgroup_cooccurrence;1.0;17.0
7979;6026599;;GRAD-SYS1-GENT;;lecture_subgroup_cooccurrence;1.0;17.0
7980;6026604;;GRAD-SYS1-GENT;;lecture_subgroup_cooccurrence;1.0;36.0
7981;6026615;;;;;;
7982;6026616;GRAD-SYS1-GENT/DAG/2F3;GRAD-SYS1-GENT;lecture_subgroup_cooccurrence;lecture_subgroup_cooccurrence;1.0;12.0
7983;6026620;GRAD-SYS1-GENT/DAG/2F3;GRAD-SYS1-GENT;lecture_subgroup_cooccurrence;lecture_subgroup_cooccurrence;1.0;12.0
7984;6026628;GRAD-SYS1-GENT/AVOND/2A;GRAD-SYS1-GENT;students;students;;
7985;6026638;PBA-MODE/1A;PBA-MODE;students;students;;
7986;6026639;PBA-MODE/1B1;PBA-MODE;students;students;;
7987;6026640;PBA-MODE/1D;PBA-MODE;students;students;;
7988;6026641;PBA-MODE/1C;PBA-MODE;students;students;;
7989;6026648;;PBA-MODE;;lecture_subgroup_cooccurrence;1.0;9.0
7990;6026649;PBA-MODE/1B2;PBA-MODE;students;students;;
7991;6026651;PBA-MODE/1E2;PBA-MODE;students;students;;
7992;6026683;PBA-MODE/1A;PBA-MODE;students;students;;
7993;6026684;PBA-MODE/1B1;PBA-MODE;students;students;;
7994;6026685;;PBA-MODE;;lecture_subgroup_cooccurrence;0.9;18.0
7995;6026686;PBA-MODE/1C;PBA-MODE;students;students;;
7996;6026693;PBA-MODE/1E1;PBA-MODE;students;students;;
7997;6026694;PBA-MODE/1B2;PBA-MODE;students;students;;
7998;6026696;PBA-MODE/1E2;PBA-MODE;students;students;;
7999;6026758;PBA-CH/1B1;PBA-CH;students;students;;
8000;6026759;PBA-CH/1B2;PBA-CH;students;students;;
8001;6026770;;PBA-CH;;lecture_subgroup_cooccurrence;1.0;16.0
8002;6026771;PBA-CH/1E1;PBA-CH;students;students;;
8003;6026773;;PBA-CH;;lecture_subgroup_cooccurrence;1.0;16.0
8004;6026774;PBA-CH/1C1;PBA-CH;students;students;;
8005;6026775;PBA-CH/1D1;PBA-CH;students;students;;
