LectureID,DateKey,SubgroupKey,UserCount,TotalStudents,RF_PredictedAttendanceRate,PredictedUserCount
382826,2025-12-01,5816171,6,16,0.3998168262376378,6.397069219802205
382812,2025-12-01,6140971,2,2,0.8374950360402019,1.6749900720804038
382812,2025-12-01,5820837,3,7,0.48910524871761435,3.4237367410233004
382812,2025-12-01,5801047,9,21,0.47111715592323056,9.893460274387841
395823,2025-12-01,5939147,3,8,0.374347611743723,2.994780893949784
395823,2025-12-01,5788167,12,32,0.3542849141182501,11.337117251784003
391730,2025-12-01,5749122,12,68,0.1900620793107817,12.924221393133156
391754,2025-12-01,5747718,18,73,0.2379743238986893,17.37212564460432
391705,2025-12-01,5732871,20,61,0.28651495816694106,17.477412448183404
391717,2025-12-01,5732871,16,61,0.2449226438404394,14.940281274266804
395387,2025-12-01,5788370,14,68,0.20917488320582903,14.223892057996373
387571,2025-12-01,5976641,1,3,0.3383213524422182,1.0149640573266547
394496,2025-12-01,5830071,9,21,0.3541406093544988,7.4369527964444755
396866,2025-12-01,5794369,26,27,0.8290036640488052,22.38309892931774
365223,2025-12-01,5777339,23,30,0.6748353387425694,20.24506016227708
396866,2025-12-01,5824792,1,1,0.9144290111062827,0.9144290111062827
386443,2025-12-01,5889326,11,38,0.26276424325017333,9.985041243506586
468292,2025-12-01,5722831,4,33,0.3560617030552196,11.750036200822247
394854,2025-12-02,5776997,6,24,0.41990540979590196,10.077729835101646
373939,2025-12-02,5757961,5,10,0.42516429132771855,4.251642913277186
373939,2025-12-02,6117302,2,10,0.47987225007441925,4.7987225007441925
394509,2025-12-02,5787960,1,12,0.2626690770624363,3.152028924749236
394509,2025-12-02,5807005,5,26,0.28301284421126305,7.358333949492839
372913,2025-12-02,6117609,41,143,0.27181790175198184,38.869959950533406
373939,2025-12-02,6117392,3,10,0.37568213526358063,3.7568213526358063
395665,2025-12-02,5788172,15,31,0.42344244416460947,13.126715769102894
395974,2025-12-02,5937667,11,89,0.18518005307630575,16.48102472379121
367040,2025-12-02,6069978,6,63,0.14090926647954272,8.87728378821119
367040,2025-12-02,6070080,4,65,0.14365606132816297,9.337643986330592
394865,2025-12-02,5893256,8,15,0.5079000443827343,7.618500665741014
394865,2025-12-02,5777332,11,26,0.5114841265689886,13.298587290793703
394854,2025-12-02,6140687,2,4,0.43113099794187604,1.7245239917675041
395678,2025-12-02,5788172,15,31,0.4508093751079641,13.975090628346887
373878,2025-12-02,5785208,3,8,0.37225918065214986,2.978073445217199
373878,2025-12-02,5872641,2,5,0.4699718528648315,2.3498592643241576
373878,2025-12-02,5879216,6,7,0.4504949114064673,3.1534643798452713
373938,2025-12-02,5818432,5,10,0.431301275939864,4.3130127593986405
373938,2025-12-02,5853573,6,10,0.4800980075384816,4.800980075384816
373938,2025-12-02,5914965,8,10,0.44181169460621306,4.41811694606213
373938,2025-12-02,5922492,3,9,0.50974894819973,4.587740533797571
373938,2025-12-02,5990917,1,11,0.516440047753073,5.680840525283802
382427,2025-12-02,5997865,18,41,0.549303028656804,22.521424174928963
472099,2025-12-02,5957378,3,9,0.3616737884263541,3.255064095837187
391442,2025-12-02,6070080,7,65,0.1385363459733647,9.004862488268705
422400,2025-12-02,6041230,7,20,0.379573856572269,7.59147713144538
422400,2025-12-02,6041234,9,18,0.43242858076651863,7.7837144537973355
422400,2025-12-02,6041238,8,17,0.4424393102869244,7.521468274877715
403010,2025-12-02,5951634,1,1,0.4893035131505158,0.4893035131505158
403010,2025-12-02,5887880,10,27,0.32138097393390086,8.677286296215323
403010,2025-12-02,5795323,8,24,0.35819817536958637,8.596756208870072
402982,2025-12-02,5759580,3,16,0.37170277158787063,5.94724434540593
471197,2025-12-02,5759579,1,2,0.4055510526187519,0.8111021052375038
391060,2025-12-02,5855550,8,25,0.2905916584462039,7.264791461155097
473513,2025-12-02,6057660,1,11,0.34596557441740394,3.8056213185914434
407078,2025-12-02,6057660,1,11,0.3738615244093038,4.112476768502342
404887,2025-12-02,6062606,10,19,0.4950722949989108,9.406373604979306
394854,2025-12-02,5899991,9,16,0.5018507074279267,8.029611318846827
423005,2025-12-02,5869576,11,52,0.25341477264260714,13.177568177415571
422556,2025-12-02,5900978,13,36,0.4212241718781729,15.164070187614225
422556,2025-12-02,5733473,18,35,0.4203364270466169,14.711774946631591
422633,2025-12-02,5900974,12,24,0.3655923828797731,8.774217189114554
422633,2025-12-02,5853626,14,37,0.40164133966769056,14.860729567704551
474805,2025-12-02,5722841,19,33,0.5092090082221088,16.80389727132959
396367,2025-12-02,5889325,4,36,0.2179745349825497,7.847083259371789
365324,2025-12-02,5769422,15,50,0.3025925516774074,15.12962758387037
429025,2025-12-02,5785003,35,52,0.5812435524145695,30.224664725557613
392706,2025-12-02,5869852,5,44,0.1900104473786487,8.360459684660542
361003,2025-12-02,5957624,9,14,0.45769044207893983,6.407666189105157
368852,2025-12-02,5976932,1,11,0.26695867541334956,2.936545429546845
378753,2025-12-02,5794303,23,40,0.3922703612019102,15.69081444807641
391641,2025-12-02,5747211,27,53,0.3935728547023789,20.85936129922608
425646,2025-12-02,5747211,23,53,0.3577521513994516,18.960864024170935
395768,2025-12-02,5829216,11,33,0.3716834284920397,12.26555314023731
368852,2025-12-02,6043826,1,4,0.3726664957126528,1.4906659828506112
373938,2025-12-02,5758038,4,10,0.42987876943099385,4.298787694309938
365324,2025-12-02,5869581,3,22,0.28047993941980354,6.170558667235678
472112,2025-12-02,5753006,3,27,0.34354156083329224,9.275622142498891
472087,2025-12-02,6115689,3,19,0.2207115131030461,4.193518748957876
472087,2025-12-02,5753210,2,25,0.17745164076245024,4.436291019061256
472075,2025-12-02,6115689,2,19,0.22311280257577504,4.239143248939726
479708,2025-12-02,5794217,17,44,0.4040781994136196,17.779440774199262
472112,2025-12-02,5872325,3,20,0.2908151111690575,5.81630222338115
472075,2025-12-02,5830094,3,10,0.35064475083045554,3.5064475083045554
387624,2025-12-02,5796254,4,15,0.24057811583661845,3.608671737549277
379056,2025-12-02,5794217,20,44,0.407749091340348,17.94096001897531
387624,2025-12-02,5937306,8,26,0.3247782716324924,8.444235062444802
395138,2025-12-02,5788369,6,39,0.24009132031458222,9.363561492268706
395506,2025-12-02,5807006,10,28,0.38953633382399694,10.907017347071914
395581,2025-12-02,5807210,4,27,0.22012096497391895,5.943266054295812
395581,2025-12-02,5830070,2,5,0.3372849191895928,1.686424595947964
395519,2025-12-02,5872097,7,33,0.21046153291366526,6.945230586150954
395519,2025-12-02,5937510,11,49,0.25023733808521537,12.261629566175554
472075,2025-12-02,5753210,2,25,0.19725764478707108,4.931441119676777
395506,2025-12-02,5787961,5,9,0.43154365068942707,3.883892856204844
471383,2025-12-02,5829010,14,33,0.4041198494923249,13.335955033246721
373939,2025-12-02,5853496,4,10,0.41717325440510145,4.1717325440510145
394336,2025-12-02,5887179,1,19,0.4331915402593419,8.230639264927497
468302,2025-12-02,5722831,19,33,0.48302837886117855,15.939936502418892
395896,2025-12-02,5829013,9,33,0.2930008749151787,9.669028872200897
396055,2025-12-02,5879556,1,31,0.38245207917713325,11.856014454491131
391096,2025-12-02,5738853,19,51,0.20980265263877226,10.699935284577386
391084,2025-12-02,5797595,27,55,0.2861630863286487,15.738969748075677
387504,2025-12-02,5896134,6,14,0.5045504543300836,7.06370636062117
395896,2025-12-02,5830056,3,8,0.4625185522750267,3.7001484182002136
471473,2025-12-02,5879553,1,30,0.5006823725711513,15.02047117713454
395281,2025-12-02,5939153,1,4,0.2908311296594557,1.1633245186378227
395281,2025-12-02,5788377,6,21,0.3067070959901033,6.440849015792169
468296,2025-12-02,5722831,9,33,0.49114724409729454,16.20785905521072
391084,2025-12-02,5754560,24,58,0.2883077809230933,16.72185129353941
481796,2025-12-02,6081643,8,13,0.5275527715796297,6.858186030535186
381168,2025-12-02,5760221,15,19,0.5468773498168603,10.390669646520346
481797,2025-12-02,6081638,7,9,0.49608776369071034,4.464789873216393
472169,2025-12-02,5997463,13,32,0.42090642691798813,13.46900566137562
472143,2025-12-02,5879554,2,33,0.4333560593620777,14.300749958948565
406950,2025-12-02,5978354,14,27,0.5420184709344148,14.6344987152292
406958,2025-12-02,5978354,6,27,0.5091061626835305,13.745866392455323
394090,2025-12-02,6031543,2,27,0.34877302521083964,9.41687168069267
381831,2025-12-02,5760386,14,20,0.4537739721664148,9.075479443328296
391096,2025-12-02,5754056,25,57,0.21533531520438204,12.274112966649776
396862,2025-12-02,5824789,1,1,0.7734850821798719,0.7734850821798719
396862,2025-12-02,5794366,14,23,0.5279570033869345,12.143011077899494
329029,2025-12-02,5824501,4,7,0.6376456457795594,4.463519520456916
381284,2025-12-02,5889005,10,21,0.3903568425075696,8.197493692658961
481098,2025-12-02,5922234,1,8,0.376047839052434,3.008382712419472
382748,2025-12-02,5794365,15,23,0.5174344453995048,11.90099224418861
329029,2025-12-02,5824459,4,8,0.5342826154049137,4.27426092323931
329029,2025-12-02,5824249,8,17,0.5087898618559189,8.64942765155062
473250,2025-12-02,5830058,1,8,0.47784134385097093,3.8227307508077675
396042,2025-12-02,5997870,1,40,0.5021193144484513,20.08477257793805
386156,2025-12-03,6115667,6,35,0.185111896453835,6.478916375884225
363866,2025-12-03,5722832,24,33,0.5677577315971718,18.73600514270667
436231,2025-12-03,5896196,8,30,0.28215153361262535,8.464546008378761
363853,2025-12-03,5722832,23,33,0.5688413856834074,18.77176572755244
386104,2025-12-03,5753212,13,52,0.2127055177783724,11.060686924475364
394554,2025-12-03,5830069,2,11,0.4537507647739008,4.9912584125129085
473790,2025-12-03,5807210,2,27,0.17723509516140623,4.785347569357969
384671,2025-12-03,5788369,6,39,0.2054632568176366,8.013067015887827
473336,2025-12-03,5997871,31,47,0.5790999819866749,27.21769915337372
366808,2025-12-03,5889088,6,12,0.5205853021331377,6.247023625597652
473790,2025-12-03,5830070,2,5,0.40897142327299235,2.0448571163649616
386169,2025-12-03,6115667,6,35,0.16713778075350538,5.8498223263726885
384358,2025-12-03,5788164,12,34,0.2861526657962544,9.72919063707265
394554,2025-12-03,5807209,4,40,0.2734811256369452,10.939245025477808
386601,2025-12-03,5915911,1,9,0.2399458173560949,2.1595123562048544
473742,2025-12-03,5869991,2,44,0.5013938332924501,22.061328664867805
386614,2025-12-03,5830094,6,10,0.3557555418981229,3.557555418981229
415833,2025-12-03,5826658,13,25,0.5077741666373834,12.694354165934584
426845,2025-12-03,5996131,29,64,0.3281713471358274,21.002966216692954
466690,2025-12-03,5760388,13,42,0.3112195124324238,13.0712195221618
478224,2025-12-03,5891358,19,25,0.6330662073940831,15.82665518485208
370972,2025-12-03,5878890,16,25,0.6967080905675108,17.41770226418777
392397,2025-12-03,5908442,1,1,0.4814162806964052,0.4814162806964052
415833,2025-12-03,5909271,7,24,0.48731150353555447,11.695476084853308
392397,2025-12-03,5869577,16,64,0.24534222736647976,15.701902551454705
473751,2025-12-03,5891219,28,43,0.5720213382760453,24.596917545869946
436015,2025-12-03,6027667,1,13,0.4129653528764068,5.3685495873932885
377114,2025-12-03,5876601,6,22,0.3467130893297851,7.627687965255273
377114,2025-12-03,6121664,10,23,0.37420465915977913,8.60670716067492
478232,2025-12-03,5891358,20,25,0.6067898681942689,15.169746704856724
386601,2025-12-03,5830094,4,10,0.36006634669135434,3.6006634669135433
377114,2025-12-03,6121718,9,24,0.3581657498205832,8.595977995693996
377114,2025-12-03,5876546,2,24,0.329422307169269,7.906135372062456
370960,2025-12-03,5833449,21,25,0.735609782595288,18.3902445648822
479444,2025-12-03,5949025,2,3,0.46926191250882787,1.4077857375264835
407222,2025-12-03,5891228,32,44,0.6845010349712266,30.11804553873397
368944,2025-12-03,6117304,8,10,0.7875479167796955,7.875479167796955
391114,2025-12-03,5754059,21,61,0.35912903064537155,21.906870869367665
391114,2025-12-03,5754563,29,55,0.41613912419822524,22.88765183090239
372577,2025-12-03,5833431,1,25,0.4244250068091145,10.610625170227863
403040,2025-12-03,5759581,2,15,0.4794998620341669,7.192497930512503
403027,2025-12-03,5787292,1,15,0.4649659611626859,6.974489417440289
403027,2025-12-03,5793572,4,18,0.4297178834765045,7.7349219025770815
364681,2025-12-03,5777000,5,32,0.29562219857226374,9.45991035431244
391127,2025-12-03,5797598,16,43,0.3603319514782944,15.494273913566659
364681,2025-12-03,5777335,12,29,0.3135202433425222,9.092087056933144
372577,2025-12-03,5833508,1,26,0.41890204241050794,10.891453102673207
425001,2025-12-03,6018417,9,18,0.46329243433949974,8.339263818110995
364681,2025-12-03,5893259,8,19,0.3490080924793362,6.631153757107388
368892,2025-12-03,5906116,8,9,0.7541519555190065,6.787367599671058
364681,2025-12-03,5899994,5,19,0.3156692230498947,5.997715237947999
472197,2025-12-03,5753142,11,38,0.3084404412397114,11.720736767109035
368892,2025-12-03,5991033,7,10,0.7645997100368104,7.6459971003681035
364681,2025-12-03,6140313,1,2,0.4504024385950684,0.9008048771901368
368944,2025-12-03,6117394,7,10,0.6891090067286454,6.891090067286454
415833,2025-12-03,5941937,14,23,0.5003569116679438,11.508208968362709
377348,2025-12-03,5889307,4,8,0.5145012573288469,4.116010058630775
391127,2025-12-03,5738856,26,52,0.3604759286669537,18.744748290681592
438530,2025-12-03,5793319,7,17,0.6846249917152774,11.638624859159716
438530,2025-12-03,5817622,2,3,0.626774473458661,1.880323420375983
438530,2025-12-03,5955255,2,3,0.8097311623485042,2.4291934870455125
366903,2025-12-03,5893260,1,16,0.38287230745908063,6.12595691934529
438530,2025-12-03,5984438,4,4,0.6497253868038416,2.5989015472153665
396636,2025-12-03,5824789,1,1,0.7838402134635095,0.7838402134635095
396636,2025-12-03,5794366,3,23,0.4923246943911158,11.323467970995663
471447,2025-12-03,5879551,15,32,0.568421525828162,18.189488826501183
407230,2025-12-03,5891228,29,44,0.6527706627097434,28.72190915922871
381734,2025-12-03,5829010,17,33,0.5049279803583948,16.66262335182703
438530,2025-12-03,5792815,11,17,0.7520100162203949,12.784170275746712
407886,2025-12-03,6026825,1,22,0.35409015578227193,7.789983427209982
401027,2025-12-03,5894755,11,22,0.5613012127105546,12.3486266796322
401027,2025-12-03,5794531,8,17,0.5189318767855818,8.82184190535489
415833,2025-12-03,5909480,20,26,0.465523383018953,12.103607958492779
438530,2025-12-03,5795913,1,1,0.9183938726102999,0.9183938726102999
404682,2025-12-04,6062527,8,22,0.5299514841697803,11.658932651735167
428512,2025-12-04,5824963,16,32,0.44587915073835965,14.268132823627509
395597,2025-12-04,5807210,4,27,0.24498736955687164,6.614658978035535
395597,2025-12-04,5830070,1,5,0.3230403085866602,1.615201542933301
391680,2025-12-04,5747715,25,62,0.4043959792173844,25.072550711477835
396078,2025-12-04,5879349,13,27,0.49447695942097114,13.350877904366222
386195,2025-12-04,5753211,5,60,0.1064055222494519,6.384331334967114
382518,2025-12-04,5997867,22,36,0.6504463681639374,23.416069253901746
384056,2025-12-04,5937510,10,49,0.2265719241608224,11.102024283880297
395597,2025-12-04,5976640,1,3,0.33054025368208134,0.991620761046244
472182,2025-12-04,5788165,2,25,0.1812052400973255,4.530131002433137
384842,2025-12-04,5976642,4,9,0.396969621315017,3.572726591835153
394611,2025-12-04,5976642,4,9,0.3867372797197893,3.4806355174781034
471343,2025-12-04,5938927,6,35,0.3337370496174471,11.680796736610649
428507,2025-12-04,5939146,1,9,0.22201517248943484,1.9981365524049135
397829,2025-12-04,6160629,2,35,0.13390470365329527,4.686664627865334
397829,2025-12-04,6160650,1,24,0.13960975631689498,3.3506341516054796
386208,2025-12-04,5976665,6,14,0.40558753901941,5.67822554627174
428512,2025-12-04,5821195,11,32,0.4293799383993522,13.74015802877927
386208,2025-12-04,5753211,4,60,0.12609437738003082,7.565662642801849
468309,2025-12-04,5722841,26,33,0.5055825317537268,16.684223547872985
386195,2025-12-04,5976665,6,14,0.35903882107645296,5.026543495070341
397829,2025-12-04,6117230,1,32,0.13143428074677527,4.2058969838968085
384842,2025-12-04,5830072,5,9,0.4125021588769585,3.7125194298926267
477422,2025-12-04,6113564,4,5,0.670569724749309,3.352848623746545
394611,2025-12-04,5796256,2,13,0.32951555637361624,4.283702232857011
372046,2025-12-04,5996148,9,16,0.5278880542232901,8.446208867572642
428507,2025-12-04,5788166,13,30,0.26074817164265723,7.822445149279717
477422,2025-12-04,6113595,5,5,0.7066212584646353,3.5331062923231764
477422,2025-12-04,6113626,4,4,0.614471772717174,2.457887090868696
391157,2025-12-04,5754055,23,56,0.26135915025621537,14.63611241434806
477422,2025-12-04,6113657,3,3,0.6474945085521828,1.9424835256565485
469405,2025-12-04,5763965,13,17,0.6414922472328396,10.905368202958273
372046,2025-12-04,5927816,6,10,0.49116348407182964,4.911634840718296
372046,2025-12-04,5927774,13,26,0.5319328414663399,13.830253878124838
382047,2025-12-04,5760388,14,42,0.3065410298941594,12.874723255554693
394611,2025-12-04,5937308,9,28,0.3827735566700756,10.717659586762117
471434,2025-12-04,5879551,14,32,0.5681845109871038,18.18190435158732
395354,2025-12-04,5889005,8,21,0.3691061037247462,7.75122817821967
384056,2025-12-04,5872097,3,33,0.18748316418788474,6.186944418200197
395794,2025-12-04,5788368,6,26,0.27327621990456513,7.105181717518693
382904,2025-12-04,5879557,15,28,0.48242458601731913,13.507888408484936
386130,2025-12-04,6115668,8,37,0.23537579711517823,8.708904493261594
386378,2025-12-04,6082490,3,4,0.6275207887471423,2.5100831549885694
386378,2025-12-04,5995907,11,37,0.3272951616178519,12.109920979860519
386339,2025-12-04,5889324,5,31,0.27767183578201154,8.607826909242357
386365,2025-12-04,6082490,3,4,0.6673940747998554,2.6695762991994214
401036,2025-12-04,5794531,7,17,0.565262668034479,9.609465356586142
401036,2025-12-04,5894755,10,22,0.6120320343094385,13.464704754807649
464390,2025-12-04,5870051,21,43,0.4506427558009573,19.377638499441165
391072,2025-12-04,5855550,10,25,0.29976401850501583,7.494100462625395
407768,2025-12-04,6057606,27,29,0.8231273570061531,23.870693353178442
395461,2025-12-04,5976638,1,6,0.2546407700586465,1.527844620351879
471678,2025-12-04,5788367,14,56,0.276533110104689,15.485854165862584
387778,2025-12-04,5937304,9,26,0.35603003148300266,9.256780818558068
387778,2025-12-04,5796252,1,13,0.29866516941820176,3.882647202436623
386365,2025-12-04,5995907,8,37,0.309633157285626,11.456426819568163
394427,2025-12-04,6062417,64,130,0.36512109219254374,47.46574198503069
468308,2025-12-04,5722831,2,33,0.4393211387214453,14.497597577807694
399462,2025-12-04,5794141,11,19,0.5382625662747532,10.226988759220312
399450,2025-12-04,5794141,11,19,0.5760562023270501,10.945067844213952
386326,2025-12-04,5889324,5,31,0.26698791595789717,8.276625394694813
473263,2025-12-04,5879755,12,33,0.5011860133949901,16.539138442034673
473263,2025-12-04,5976623,6,11,0.5162797442212526,5.679077186433778
472156,2025-12-04,5879551,14,32,0.5697186673485518,18.230997355153658
395461,2025-12-04,5788163,16,55,0.2437843033813156,13.408136685972359
395551,2025-12-04,5830076,2,2,0.42709832436010886,0.8541966487202177
384842,2025-12-04,5788371,9,27,0.30851726315296946,8.329966105130175
411778,2025-12-04,6057053,3,6,0.45323982346833247,2.7194389408099946
379042,2025-12-04,5794218,16,33,0.40704262410743686,13.432406595545416
482001,2025-12-04,5807216,6,27,0.27579638304911425,7.4465023423260845
395551,2025-12-04,5807216,5,27,0.28225817742121534,7.620970790372814
