EMAIL,SUBGROEPID
u_01e9ffbf57f86f558626f9c6379a0251099fa204c7cdeeb9f01f66ee27fcd626,"[5928950, 5928973]"
u_01eb8f0665e153c917566dcbaa82cb642d814d8c58ccc289096a69a81a3444da,"[5988818, 5988823, 5988824, 5988825, 5988826, 6012172, 6101355, 6144976]"
u_01ec7a72cb1bc181db48a5ebc3a02bfff97427927482de0b0065ea88d71dac73,"[5879348, 5879350, 5879353, 5879354, 5879357, 5879358, 5879359, 5879360, 5879361]"
u_01f001dba426ca89d2abb79a8da0aec02a8267adde475c1897d3014557b9242a,"[5788114, 5879354, 5937304, 5937305, 5937306, 5937309, 5937311, 5937464, 5937465, 6081246]"
u_01f7279777b6030b6f88ecff6a0daa04296bf0abe649f4a09e53b625715e9347,"[5869979, 5869983, 5869995, 5869996, 5891208, 5891219, 5891227, 5891228, 5891229, 5891232, 6057573]"
u_01fb6390bcb75904e5931335b0aa8364f93bdf41e56f72b2e414cca26e0be300,"[5792378, 5792397, 5792398, 5792435, 5792436, 5792451, 5792520, 5792538]"
u_01fbd84d70ea510c21294b0b2ad1195a1666aec31a522995d179dfe788b10ed7,[5884353]
u_0202c2792df51c18c51fb567d3b8273db5cdcc579744ca0b69e82dd380c24334,"[5937308, 5997870, 5997873, 5997874, 5997875, 5997876, 5997877, 5997878, 5997879]"
u_020406443acdf00b1db7e752814b09dce75c993c8e480149c1bada5675cfc2e9,"[5873307, 5873331, 5873333, 5873334, 5873335, 5873336, 5873337]"
u_0204a8f8018268a6c69d22290dcae3e0d2a90d806bc0768625e47b37b79ab0f6,"[5852555, 5852558, 6103465, 6103933]"
u_0206fa11079f1277f19a77641fa9c85ec25bf94549311f4f0095de7a606dab9b,"[5940365, 5940369, 5940374, 5940396, 5940411, 5940414, 6057729]"
u_020a8f070e39ab72842649ddd1afa3186fda76dbe57794cc1fb72c1ed0f913b4,"[5747714, 5747715, 5747717, 5747718, 5747721, 5747723, 5747726, 5747728, 5747729, 5747730, 5747731]"
u_020d89097f0ea3b45c8e3d8616ea7c0f6bb9e49d08758a47ec7db5ed1a19bf5c,"[5754559, 5754563, 5754567, 5754568, 5754569, 5754570, 5754573, 6070198]"
u_020e71443157f1eed97e1dc75869f46757c3e4a58dbadc921d9ec5cb6ab3342c,"[5824438, 5824442, 5824443, 5824445, 5824449, 5824457, 5824458, 5824459, 5824460, 5824467, 5824468]"
u_02134be5fd5a3ef85a4d636dc821a84fcb85e7905a1f828d8d7aad5216d840f1,[5903898]
u_021b5233236614325d212b245fdb432dbba65def54d659da216702b89c57eec1,"[5779078, 5779079, 5779080, 5779081, 5819373, 5819376, 5819378, 5819379, 5819383, 5819384, 5819385, 5819386, 5819387]"
u_021e8abfe5632c81e54da82cf39809eac11eff0f9e534835e701fe654f215ef2,"[6117228, 6117229, 6117230, 6117231, 6117232, 6117233, 6117234, 6117235, 6117236]"
u_021f2d7124c9c107636c00d7a839e102400fa6bba9b970d98d6fa9183e25b0e1,"[5853626, 5853638, 5853791, 5873432, 5873435, 5873437, 5873438, 6079428]"
u_022794b293e60dfbd228365d9efe0531b9529a0ccd8b6c6cda1bca53884c2104,"[5830440, 5843400, 5843401, 5843403, 5843404, 5843423, 5980175, 6007850]"
